address_hand,double_hypen,address,lastSoldPrice,lastSoldDate
1226-S-Williams-St-80209,False,,,
552-S-Franklin-St-80209,False,,,
751-S-Race-St-80209,False,,,
1166-S-Williams-St-80209,False,,,
1290-S-High-St-80209,False,,,
1261-S-York-St-80209,True,,,
1162-S-Race-St-80209,False,,,
1293-S-High-St-80209,False,,,
512-S-Gaylord-St-80209,True,,,
1217-S-Vine-St-80209,False,,,
1707-S-Gilpin-St-80209,False,,,
1004-S-Gaylord-St-80209,True,,,
574-S-York-St-80209,True,,,
1157-S-Race-St-80209,False,,,
2295-S-York-St-80209,True,,,
1265-S-High-St-80209,False,,,
333-S-Franklin-St-80209,False,,,
669-S-Gilpin-St-80209,False,,,
1142-S-York-St-80209,True,,,
1203-S-High-St-80209,False,,,
1119-S-Gilpin-St-80209,False,,,
410-S-Vine-St-80209,False,,,
1159-S-Race-St-80209,False,,,
1617-S-Franklin-St-80209,False,,,
1166-S-York-St-80209,True,,,
1100-S-Williams-St-80209,False,,,
1200-S-York-St-80209,True,,,
2308-S-York-St-80209,True,,,
311-S-Race-St-80209,False,,,
1123-S-York-St-80209,True,,,
1251-S-Williams-St-80209,False,,,
736-S-High-St-80209,False,,,
504-S-Gaylord-St-80209,True,,,
1725-S-Williams-St-80209,False,,,
1200-S-Vine-St-80209,False,,,
1115-S-High-St-80209,False,,,
1134-S-High-St-80209,False,,,
1160-S-High-St-80209,False,,,
570-S-Franklin-St-80209,False,,,
1149-S-Vine-St-80209,False,,,
421-S-Williams-St-80209,False,,,
1100-S-Gilpin-St-80209,False,,,
1150-S-Williams-St-80209,False,,,
1235-S-Gaylord-St-80209,True,,,
1215-S-York-St-80209,True,,,
556-S-Gilpin-St-80209,False,,,
1060-S-Vine-St-80209,False,,,
494-S-Vine-St-80209,False,,,
1242-S-York-St-80209,True,,,
1184-S-Williams-St-80209,False,,,
1253-S-Vine-St-80209,False,,,
1114-S-Gaylord-St-80209,True,,,
655-S-Gilpin-St-80209,False,,,
765-S-Race-St-80209,False,,,
320-S-Gaylord-St-80209,True,,,
1245-S-York-St-80209,True,,,
1208-S-Vine-St-80209,False,,,
415-S-High-St-80209,False,,,
1126-S-Vine-St-80209,False,,,
1208-S-Williams-St-80209,False,,,
1290-S-York-St-80209,True,,,
301-S-York-St-80209,True,,,
1190-S-Vine-St-80209,False,,,
1290-S-Gaylord-St-80209,True,,,
1294-S-Vine-St-80209,False,,,
520-S-Gaylord-St-80209,True,,,
445-S-Gilpin-St-80209,False,,,
1250-S-York-St-80209,True,,,
1715-S-Gilpin-St-80209,False,,,
1192-S-Gaylord-St-80209,True,,,
1289-S-Vine-St-80209,False,,,
384-S-High-St-80209,False,,,
1100-S-Race-St-80209,False,,,
1150-S-Race-St-80209,False,,,
595-S-High-St-80209,False,,,
1211-S-Williams-St-80209,False,,,
1160-S-Franklin-St-80209,False,,,
1210-S-High-St-80209,False,,,
1150-S-Vine-St-80209,False,,,
1261-S-Williams-St-80209,False,,,
1258-S-High-St-80209,False,,,
434-S-Race-St-80209,False,,,
551-S-Williams-St-80209,False,,,
1138-S-Race-St-80209,False,,,
1221-S-High-St-80209,False,,,
1151-S-Race-St-80209,False,,,
545-S-Williams-St-80209,False,,,
524-S-Gaylord-St-80209,True,,,
1266-S-Gaylord-St-80209,True,,,
1264-S-High-St-80209,False,,,
1030-S-Gilpin-St-80209,False,,,
1135-S-York-St-80209,True,,,
1219-S-York-St-80209,True,,,
510-S-York-St-80209,True,,,
585-S-Gaylord-St-80209,True,,,
490-S-York-St-80209,True,,,
547-S-Gilpin-St-80209,False,,,
635-S-Williams-St-80209,False,,,
1277-S-Vine-St-80209,False,,,
558-S-Gilpin-St-80209,False,,,
1151-S-Williams-St-80209,False,,,
1239-S-Vine-St-80209,False,,,
1234-S-Vine-St-80209,False,,,
1296-S-York-St-80209,True,,,
452-S-Franklin-St-80209,False,,,
420-S-Gaylord-St-80209,True,,,
510-S-Gaylord-St-80209,True,,,
1234-S-York-St-80209,True,,,
1256-S-Gaylord-St-80209,True,,,
1225-S-Vine-St-80209,False,,,
1256-S-Vine-St-80209,False,,,
96-S-Race-St-80209,False,,,
1196-S-Franklin-St-80209,False,,,
307-S-Franklin-St-80209,False,,,
819-S-York-St-80209,True,,,
636-S-Gilpin-St-80209,False,,,
1228-S-High-St-80209,False,,,
1145-S-Vine-St-80209,False,,,
1000-S-Gaylord-St-80209,True,,,
1280-S-Williams-St-80209,False,,,
300-S-York-St-80209,True,,,
1151-S-High-St-80209,False,,,
1026-S-Race-St-80209,False,,,
815-S-High-St-80209,False,,,
1119-S-Gaylord-St-80209,True,,,
1225-S-Williams-St-80209,False,,,
1117-S-Vine-St-80209,False,,,
1100-S-High-St-80209,False,,,
623-S-Williams-St-80209,False,,,
447-S-Gilpin-St-80209,False,,,
534-S-Franklin-St-80209,False,,,
345-S-York-St-80209,True,,,
430-S-Gilpin-St-80209,False,,,
514-S-Gaylord-St-80209,True,,,
789-S-Williams-St-80209,False,,,
813-S-Vine-St-80209,False,,,
839-S-Vine-St-80209,False,,,
1281-S-High-St-80209,False,,,
820-S-Williams-St-80209,False,,,
1710-S-Gilpin-St-80209,False,,,
1149-S-Race-St-80209,False,,,
1125-S-Williams-St-80209,False,,,
575-S-Vine-St-80209,False,,,
642-S-Gilpin-St-80209,False,,,
1147-S-Race-St-80209,False,,,
1154-S-High-St-80209,False,,,
1157-S-Williams-St-80209,False,,,
844-S-Vine-St-80209,False,,,
1059-S-Gilpin-St-80209,False,,,
1254-S-Gaylord-St-80209,True,,,
981-S-Race-St-80209,False,,,
1101-S-Gaylord-St-80209,True,,,
1169-S-York-St-80209,True,,,
1203-S-Williams-St-80209,False,,,
1086-S-Vine-St-80209,False,,,
1247-S-Vine-St-80209,False,,,
1195-S-York-St-80209,True,,,
824-S-Franklin-St-80209,False,,,
801-S-Vine-St-80209,False,,,
1150-S-Franklin-St-80209,False,,,
545-S-Gilpin-St-80209,False,,,
